title,abstract,keyphrases
DISEÑO DE LOGOTIPOS/DISEÑO GRÁFICO 2,"Hola, familia de diseño! Somos una agencia empresarial de flujo web que busca un diseñador talentoso que pueda unirse inmediatamente a nuestro equipo para un proyecto a partir del lunes. Estaremos contratando hoy y el lunes (si está viendo este 29/11, el listado ha expirado). El proyecto estará orientado al cliente, por lo que, lamentablemente, no habrá agencias, solo individuos. ¡Estamos emocionados de encontrar a alguien que ame a Figma tanto como nosotros! Gracias","somos una agencia empresarial de flujo web que busca un diseñador talentoso que pueda unirse inmediatamente, diseño gráfico, partir del lunes, diseño de logotipos, equipo para un proyecto, alguien que, si está viendo este, habrá agencias, solo individuos, como nosotros"
PAGINA WEB,Necesito una página web en español. Con un calculador de presupuestos online para placas solares.,"necesito una página web en español, online para placas solares, pagina web, con un calculador"
fabricante de volantes,"hola, estoy buscando un profesional independiente que pueda hacer un buen creador de folletos para mi empresa","hacer un buen creador de folletos para mi empresa, estoy buscando un profesional independiente que, fabricante de volantes, hola"
logo para una marca,"Mi proyecto trata de venta de lanyards de marcas de coche y moto. La típica correa con logos para llevar tus llaves y colgartelo por el cuello. Youandyourbrands es la marca, aunque en el logo no quiero que salga el nombre. Quieor que sea mas logo/icono","y colgartelo por el cuello, de marcas de coche y moto, la típica correa con logos para llevar tus, logo para una marca, quieor que sea mas logo, quiero que salga el nombre, mi proyecto trata, youandyourbrands, aunque, icono"
SYF98 (joyeria),Joyas para mujeres de 35 a 50 años. El logo puede ser que tenga algun siginificado en hebreo.,"el logo puede ser que tenga, joyas para, syf98, joyeria, años, siginificado en hebreo, de"
Edición de video clases para curso sobre software de Arquitectura,"Hola. Me podrías ayudar con la edición de mi curso de 30horas de Archicad? Un software de arquitectura. Necesito retirar respiros, cortar partes en que me equivoco, hacer algunas pocas transiciones predeterminadas y poco más. Te envío un ejemplo de las clases: El video tiene calidad 1080p. Solo hay que editar 1 canal de audio y 1 canal de video que se duplica por que se ve mi cara y la pantalla del ordenador sincronizados. ¿Me podrías preparar un presupuesto para la edición de estas 30h distribuidas a lo largo de 2 meses? Muchas gracias. Un saludo, Manoel.","lo largo de, ve mi cara y la pantalla del ordenador sincronizados, y 1 canal, ayudar con la edición de mi curso de 30horas de archicad, video clases para curso sobre software de arquitectura, video que se duplica por que, hacer algunas pocas transiciones, solo hay que editar, podrías preparar un presupuesto para la edición, necesito retirar respiros"
convertir plantilla pdf a factura ninja,Actualmente estamos usando un antiguo sistema de facturas y queremos migrar a la factura ninja. Tenemos una plantilla PDF que estamos utilizando para nuestro sistema de facturación actual. Necesitamos convertir o mejor dicho migrar la plantilla pdf al sistema ninja de facturas. Le proporcionaré un archivo de Illustrator y también un archivo pdf vacío,"le proporcionaré un archivo de illustrator y también un archivo pdf vacío, actualmente estamos usando un antiguo sistema de facturas y queremos migrar, o mejor dicho migrar la plantilla pdf al sistema ninja de facturas, tenemos una plantilla pdf que estamos utilizando para nuestro, factura ninja, plantilla, necesitamos, de facturación"
MVP Ecommers en Bubble,"Se desea crear un ecommers de simples características para validar un proyecto. Las funciones principales son crear usuarios, crear productos , crear pedidos. Ver estado de pedidos. Podemos reunirnos para validar el alcance completo de la aplicación.","un ecommers de simples características para validar un proyecto, mvp ecommers, podemos reunirnos para validar el alcance completo de la aplicación, las funciones principales, crear pedidos, crear usuarios, crear productos, bubble, ver estado de pedidos, se desea"
Servicio De Tecnología,Es para dar servicio de tecnológia en linea ect,"es para dar servicio de tecnológia, linea ect, servicio de tecnología"
Pinza de reducción ósea (para fracturas de maleolo interno tibial),"Necesito diseñar una pinza de reducción (quirúrgica) para utilizar en cirugías traumatológicas. Existen ya pinzas en el mercado (figura 1) que permiten fijar el hueso en su lugar y facilitar la introducción de agujas guías, por las cuales luego se introducen tornillos de compresión canulados (imagen 2) que fijan el hueso en su lugar. Tengo el diseño básico (en meshmixer: adjunto vídeo 1 , imagen 4) de una modificación de las pinzas que existen en el mercado , con un brazo de la pinza que conecta con 6 cilindros canulados que permiten la introducción de 6 agujas (imagen 2). La angulación de los 6 cilindros debe ser la misma que he determinado yo con Meshmixer (imagen 3) Necesito que se mejo...","la angulación de los, permiten la introducción de, existen ya pinzas en el mercado, con un brazo de la pinza que, su lugar y facilitar la introducción de agujas guías, por las cuales luego se introducen tornillos de compresión canulados, necesito diseñar una pinza de reducción, de una modificación de las pinzas que existen, interno tibial, reducción ósea"
